ticker,ann_date,surprise,beat,drift_return
AAPL,2026-04-30,3.46,True,0.07270162687467097
AAPL,2026-01-29,6.25,True,-0.013337070162004805
AAPL,2025-10-30,4.52,True,0.008522040128122299
AAPL,2025-07-31,9.48,True,0.1456312121279617
AAPL,2025-05-01,1.69,True,0.030129158072626172
AAPL,2025-01-30,2.26,True,0.0375802430768275
AAPL,2024-10-31,2.48,True,0.010486532505848745
AAPL,2024-08-01,4.36,True,0.02934428702417957
AAPL,2024-05-02,1.46,True,0.036795313477713476
AAPL,2024-02-01,3.66,True,-0.017796070559010224
AAPL,2023-11-02,4.82,True,0.07523283541896375
AAPL,2023-08-03,5.66,True,-0.03991629245665451
AAPL,2023-05-04,6.28,True,0.010556461455893729
AAPL,2023-02-02,-3.78,False,-0.0111135672776691
AAPL,2022-10-27,1.44,True,-0.03718834859906395
AAPL,2022-07-28,3.93,True,0.06048272990178383
AAPL,2022-04-28,6.48,True,-0.06548574269638285
AAPL,2022-01-27,11.2,True,-0.008660353464948423
AAPL,2021-10-28,0.17,True,0.002729673550342593
AAPL,2021-07-27,28.18,True,0.007577429336727004
AAPL,2021-04-28,42.16,True,-0.062164391988511314
AAPL,2021-01-27,18.67,True,-0.012823896512710986
AAPL,2020-10-29,4.48,True,0.09742538079230023
MSFT,2026-04-29,4.9,True,0.004046273164913794
MSFT,2026-01-28,5.69,True,-0.07303349255230007
MSFT,2025-10-29,12.73,True,-0.042738123609787126
MSFT,2025-07-30,8.09,True,-0.020656167334305975
MSFT,2025-04-30,7.4,True,0.06714132670477424
MSFT,2025-01-29,3.47,True,-0.010723220021300772
MSFT,2024-10-30,6.13,True,0.05054761772052507
MSFT,2024-07-30,0.23,True,-0.003561619861671139
MSFT,2024-04-25,3.4,True,0.020722623433426124
MSFT,2024-01-30,5.83,True,0.03186101535736774
MSFT,2023-10-24,12.85,True,0.06613434644926564
MSFT,2023-07-25,5.59,True,-0.046007501700622844
MSFT,2023-04-25,9.77,True,0.05735195946892735
MSFT,2023-01-24,0.21,True,0.10855731665741697
MSFT,2022-10-25,1.92,True,-0.02943988838220113
MSFT,2022-07-26,-2.69,False,0.07598443504504493
MSFT,2022-04-26,1.06,True,-0.08004389857181737
MSFT,2022-01-25,6.97,True,0.04886912459056747
MSFT,2021-10-26,9.3,True,0.02360960863930961
MSFT,2021-07-27,12.71,True,0.0025505343434444327
MSFT,2021-04-27,9.67,True,-0.0611249095851113
MSFT,2021-01-26,23.99,True,0.04259348772951688
MSFT,2020-10-27,17.72,True,0.06843322349145464
GOOGL,2026-04-29,94.3,True,0.04228177709828729
GOOGL,2026-02-04,7.01,True,-0.04911695619923051
GOOGL,2025-10-29,26.88,True,-0.010338246831305464
GOOGL,2025-07-23,5.67,True,0.02263615535567598
GOOGL,2025-04-24,39.84,True,-0.05686581651557876
GOOGL,2025-02-04,1.18,True,-0.035384020540248584
GOOGL,2024-10-29,14.83,True,0.02533522413249356
GOOGL,2024-07-23,2.54,True,-0.07930248317613964
GOOGL,2024-04-25,25.58,True,-0.019191807961954743
GOOGL,2024-01-30,2.75,True,0.04168436181276669
GOOGL,2023-10-24,7.05,True,0.04959793794407297
GOOGL,2023-07-25,7.29,True,0.0030168944421573585
GOOGL,2023-04-25,9.45,True,0.07752398360160062
GOOGL,2023-02-02,-12.33,False,-0.09954187955731186
GOOGL,2022-10-25,-16.01,False,-0.08016448795878217
GOOGL,2022-07-26,-6.05,False,0.05872990435130232
GOOGL,2022-04-26,-3.67,False,-0.006054761420526744
GOOGL,2022-02-01,12.65,True,-0.06933790218885261
GOOGL,2021-10-26,20.44,True,-0.002215978523285256
GOOGL,2021-07-27,42.7,True,0.001359400153653656
GOOGL,2021-04-27,67.76,True,-0.06731130207987679
GOOGL,2021-02-02,39.28,True,0.022793854745178255
GOOGL,2020-10-29,46.24,True,0.09662089299289689
AMZN,2026-04-29,69.02,True,0.008149112208574172
AMZN,2026-02-05,0.22,True,-0.024011044484098854
AMZN,2025-10-30,25.2,True,-0.039022187911155415
AMZN,2025-07-31,27.19,True,0.07580907464166176
AMZN,2025-05-01,16.77,True,0.08216654890727937
AMZN,2025-02-06,25.29,True,-0.07174334549641637
AMZN,2024-10-31,25.22,True,0.023644763844539618
AMZN,2024-08-01,23.76,True,0.05455630729657335
AMZN,2024-04-30,17.67,True,0.039050310017676226
AMZN,2024-02-01,24.38,True,-0.013386898809386372
AMZN,2023-10-26,62.22,True,0.12384531046959713
AMZN,2023-08-03,91.19,True,-0.0454969246276864
AMZN,2023-04-27,44.29,True,0.04561408560636715
AMZN,2023-02-02,-82.2,False,-0.05987041762209355
AMZN,2022-10-27,35.53,True,-0.02533606666471888
AMZN,2022-07-28,-273.3,False,0.0637273530788891
AMZN,2022-04-28,-190.58,False,-0.09033123437483215
AMZN,2022-02-03,657.12,True,-0.03195896026952505
AMZN,2021-10-28,-31.21,False,0.045284861818338795
AMZN,2021-07-29,23.06,True,-0.010103406623368838
AMZN,2021-04-29,67.3,True,-0.0705192781367997
AMZN,2021-02-02,100.1,True,0.004739601960403794
AMZN,2020-10-29,64.25,True,0.030518986303550877
META,2026-04-29,7.2,True,0.010655185323848793
META,2026-01-28,8.0,True,-0.11986833549041931
META,2025-10-29,8.66,True,-0.08489495752410359
META,2025-07-30,21.82,True,0.011235452444071647
META,2025-04-30,23.53,True,0.1252511706302415
META,2025-01-29,19.0,True,0.06049499631577193
META,2024-10-30,13.86,True,0.016878476354623695
META,2024-07-31,8.45,True,0.07953960901380919
META,2024-04-24,8.11,True,0.07712175113808106
META,2024-02-01,7.88,True,-0.003515851339492282
META,2023-10-25,21.96,True,0.11167000003523242
META,2023-07-26,2.51,True,-0.019152316823829008
META,2023-04-26,11.2,True,-0.011611243341793642
META,2023-02-01,-21.53,False,-0.08650749184228146
META,2022-10-26,-11.32,False,0.1422299404429379
META,2022-07-27,-3.56,False,0.10434321394729018
META,2022-04-27,7.57,True,-0.07043203950034382
META,2022-02-02,-4.06,False,-0.12638793872692422
META,2021-10-25,1.52,True,0.06193591228554851
META,2021-07-28,17.94,True,0.012083971262679016
META,2021-04-28,40.65,True,-0.07359415347902365
META,2021-01-27,19.91,True,0.020339970315736755
META,2020-10-29,25.57,True,0.052601656085967896
NVDA,2026-05-20,5.54,True,-0.06455718049754122
NVDA,2026-02-25,5.32,True,-0.009411437103532538
NVDA,2025-11-19,3.46,True,0.00985474243621276
NVDA,2025-08-27,4.1,True,-0.012987542735849122
NVDA,2025-05-28,8.02,True,0.04181392637545156
NVDA,2025-02-26,5.25,True,-0.03794734386717147
NVDA,2024-11-20,8.52,True,-0.02877317258870815
NVDA,2024-08-28,5.66,True,0.012927920088352751
NVDA,2024-05-22,9.74,True,0.16463533383042583
NVDA,2024-02-21,11.4,True,0.17998077048464034
NVDA,2023-11-21,18.73,True,-0.043433475640643704
NVDA,2023-08-23,29.35,True,-0.03365431447637324
NVDA,2023-05-24,18.8,True,0.02090602469201408
NVDA,2023-02-22,9.45,True,-0.00946665164151772
NVDA,2022-11-16,-17.32,False,0.07675666709456741
NVDA,2022-08-24,-1.49,False,-0.1966016483780485
NVDA,2022-05-25,4.86,True,-0.04892799218791355
NVDA,2022-02-16,7.97,True,-0.06394488246456487
NVDA,2021-11-17,5.81,True,-0.030883561662456316
NVDA,2021-08-18,2.26,True,0.1314245823962834
NVDA,2021-05-26,11.44,True,0.15117095074334141
NVDA,2021-02-24,10.37,True,-0.0232588594317219
NVDA,2020-11-18,14.21,True,0.009077604755188373
NVDA,2020-08-19,10.66,True,0.07234957986694668
JPM,2026-04-14,7.78,True,0.010852169131189138
JPM,2026-01-13,-3.91,False,-0.0047097125122786965
JPM,2025-10-14,4.01,True,-0.0005887652453748782
JPM,2025-07-15,10.62,True,0.048317072799169525
JPM,2025-04-11,9.15,True,0.0421779898710406
JPM,2025-01-15,19.18,True,0.051244668666994064
JPM,2024-10-11,9.63,True,0.01815061785564831
JPM,2024-07-12,20.16,True,0.003808558651984928
JPM,2024-04-12,7.4,True,0.05681009658106295
JPM,2024-01-12,-15.65,False,0.049288371271102305
JPM,2023-10-13,9.01,True,-0.07054448321229845
JPM,2023-07-14,26.46,True,0.02986061835388809
JPM,2023-04-14,21.69,True,0.009797644607598244
JPM,2023-01-13,15.04,True,-0.005966231180856041
JPM,2022-10-14,9.44,True,0.08648344221185567
JPM,2022-07-14,-4.76,False,0.021336725168682014
JPM,2022-04-13,-2.85,False,-0.05359989736537507
